Nama vila,Lokasi,Ratting,Fasilitas,Nilai Kebersihan,Nilai Keakuratan,Nilai Check in,Nilai Komunikasi,Nilai Lokasi,Nilai ekonomis,Harga,Minimum menginap,Source_Location
Canggu Poolside: Zen & Serenity Room,"Kecamatan Kuta Utara, Bali, Indonesia",4.83,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.8,4.8,4.6,4.8,¥ 4.855,untuk 1 malam,2. Canggu
Vila Canggu Cerah & Lapang Dengan Kolam Renang & Atap,"Kuta Utara, Bali, Indonesia",4.9,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 4 kamar mandi,4.9,4.9,5.0,4.9,4.8,4.8,¥ 27.219,untuk 1 malam,2. Canggu
Central Canggu Relaxing Room dengan Kolam renang & Wi - Fi Cepat,"Kuta Utara, Bali, Indonesia",4.76,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.8,4.8,4.9,4.7,¥ 7.790,untuk 2 malam,2. Canggu
Panorama Padi: Guesthouse Nyaman dengan Kolam Renang di Canggu,"Canggu South Kuta, Bali, Indonesia",4.81,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.9,4.9,4.8,4.8,4.8,¥ 4.103,untuk 1 malam,2. Canggu
Vila Cerah & Laidback dengan Kolam renang pribadi di Canggu,"Kabupaten Badung, Bali, Indonesia",4.78,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,4.7,4.8,4.9,4.9,4.6,4.8,¥ 16.112,untuk 1 malam,2. Canggu
Serendipity in Mengwi Guesthouse: 10 menit ke Canggu,"Kecamatan Mengwi, Bali, Indonesia",4.75,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.9,4.8,4.6,4.8,¥ 4.832,untuk 1 malam,2. Canggu
Mengwi Guesthouse yang mempesona dengan Oasis Kolam Renang,"Kecamatan Mengwi, Bali, Indonesia",4.66,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.6,4.8,4.9,4.8,4.6,4.7,¥ 3.980,untuk 1 malam,2. Canggu
Liburan Backpacker Nyaman di Dekat Tempat - Tempat Semarak di Canggu,"Badung, Bali, Indonesia",4.89,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.9,5.0,4.8,4.9,4.8,4.8,¥ 7.759,untuk 2 malam,2. Canggu
Canggu Wooden Villa with Pool and Rice Field Views,"Kecamatan Kuta Utara, Bali, Indonesia",4.79,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.7,4.8,4.7,4.8,4.6,4.8,¥ 22.387,untuk 2 malam,2. Canggu
Penthouse Trendi Dekat Canggu Dengan Kolam Renang Atap,"Kec. Kuta Utara, Kabupaten Badung, Bali, Indonesia",4.73,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.7,4.7,4.8,4.8,4.5,4.7,,,2. Canggu
Vila Canggu Terang Matahari yang Luas Cocok untuk Keluarga,"Kecamatan Kuta Utara, Bali, Indonesia",4.4,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.9,4.6,4.7,4.2,4.6,4.2,¥ 26.876,untuk 1 malam,2. Canggu
Kamar Tepi Kolam Renang yang Damai: Jantung Ketenangan Canggu,"Kecamatan Kuta Utara, Bali, Indonesia",5.0,11 tamu ·  · 5 kamar tidur ·  · 5 tempat tidur ·  · 5 kamar mandi,4.6,4.9,4.7,4.9,4.4,4.6,¥ 22.658,untuk 1 malam,2. Canggu
Prime Canggu Vast Room w/ Pool & High - Speed Wi - Fi,"Kecamatan Kuta Utara, Bali, Indonesia",4.64,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.7,4.8,4.9,4.9,4.8,¥ 7.775,untuk 2 malam,2. Canggu
Guesthouse Indah di Canggu dengan Adegan Sawah,"Kecamatan Kuta Utara, Bali, Indonesia",4.96,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.9,5.0,5.0,4.8,5.0,4.8,¥ 5.470,untuk 1 malam,2. Canggu
Tempat Menginap di Guesthouse Spirited dengan Pemandangan & Kolam Renang Ricefield,"Kabupaten Badung, Bali, Indonesia",4.82,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.9,4.8,4.8,4.8,¥ 5.715,untuk 1 malam,2. Canggu
Digital Nomad's Dream Canggu Villa dengan Wi - Fi Cepat,"Kecamatan Kuta Utara, Bali, Indonesia",4.85,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 2 kamar mandi,4.7,4.8,4.7,4.7,4.8,4.7,¥ 17.205,untuk 1 malam,2. Canggu
Clifftop Bingin 2BR Villa dengan Pemandangan Laut yang Menakjubkan,"Kecamatan Kuta Selatan, Bali, Indonesia",4.87,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.8,4.9,4.8,4.8,4.9,4.8,¥ 84.618,untuk 2 malam,1. Bingin
Suaka Peselancar dengan Kolam Renang di tepi Dreamland Waves,"Kecamatan Kuta Selatan, Bali, Indonesia",4.78,"4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2,5 kamar mandi",4.9,4.9,4.9,4.8,4.6,4.9,¥ 78.847,untuk 2 malam,1. Bingin
Private Pool Villa only Short Walk to Bingin Beach,"Kecamatan Kuta Selatan, Bali, Indonesia",4.9,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,4.9,5.0,5.0,4.9,4.9,4.8,¥ 91.176,untuk 2 malam,1. Bingin
Vila Kolam Renang Beberapa Langkah dari Tempat Terbaik di Bingin,"Kecamatan Kuta Selatan, Bali, Indonesia",4.88,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.8,4.9,4.9,4.9,4.8,4.7,¥ 39.242,untuk 1 malam,1. Bingin
Bingin Villa dengan Kolam Renang Ideal untuk Liburan Romantis,"Kecamatan Kuta Selatan, Bali, Indonesia",4.92,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.9,4.9,5.0,4.9,4.9,4.8,¥ 31.198,untuk 1 malam,1. Bingin
Vila yang menenangkan di dekat Pantai dan Tempat Makan Bingin,"Kecamatan Kuta Selatan, Bali, Indonesia",4.93,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.9,4.9,4.9,4.9,4.8,4.8,¥ 81.767,untuk 2 malam,1. Bingin
Wavefront Sanctuary: Bingin's Coastal Retreat,"Kecamatan Kuta Selatan, Bali, Indonesia",4.59,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.7,4.3,4.7,4.6,4.6,¥ 12.394,untuk 1 malam,1. Bingin
Surfer's Paradise: Coastal Bliss by Bingin Beach,"Bingin, Bali, Indonesia",4.51,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.6,4.5,4.3,4.6,4.5,4.4,¥ 7.685,untuk 1 malam,1. Bingin
Bingin Surf Haven: Berkendara 4 Menit ke Pantai Bingin,"Kecamatan Kuta Selatan, Bali, Indonesia",4.94,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.8,4.8,4.8,4.9,4.8,4.8,¥ 18.414,untuk 1 malam,1. Bingin
Surf's Retreat: 15 menit berjalan kaki dari Pantai Bingin,"Kecamatan Kuta Selatan, Bali, Indonesia",4.65,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.6,4.7,4.8,4.8,4.7,4.6,¥ 13.606,untuk 1 malam,1. Bingin
Surga Tersembunyi: Liburan Kolam Renang Dekat Pantai Bingin,"Kecamatan Kuta Selatan, Bali, Indonesia",4.81,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.8,4.8,4.8,4.8,4.4,4.8,¥ 9.367,untuk 1 malam,1. Bingin
Penginapan Oceanview yang Ditinggikan di dekat Tebing Pantai Bingin,"Kecamatan Kuta Selatan, Bali, Indonesia",4.63,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.5,4.7,4.7,4.7,4.8,4.6,¥ 20.818,untuk 1 malam,1. Bingin
Clifftop Infinity Pool Retreat Above Bingin Waves,"Kecamatan Kuta Selatan, Bali, Indonesia",4.72,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.7,4.8,4.9,4.6,¥ 36.233,untuk 2 malam,1. Bingin
Bingin Cliffside Stay w/ Infinity Pool Ocean View,"Kecamatan Kuta Selatan, Bali, Indonesia",4.74,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.9,4.9,4.8,5.0,4.9,4.7,¥ 16.899,untuk 1 malam,1. Bingin
Oceanfront Sunset Stay Bertengger di Bingin Clifftop,"Kecamatan Kuta Selatan, Bali, Indonesia",4.79,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.8,4.9,4.8,4.8,4.9,4.7,¥ 18.479,untuk 1 malam,1. Bingin
Vila Mewah Dekat Bingin's Shores dan Savory Spot,"Kecamatan Kuta Selatan, Bali, Indonesia",4.69,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.6,4.9,4.8,4.9,4.8,4.8,¥ 74.818,untuk 2 malam,1. Bingin
Beach Vibes Retreat Minutes from Bingin Waves,"Kuta Selatan, Bali, Indonesia",4.87,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.9,4.9,4.9,4.8,4.7,4.8,¥ 15.960,untuk 1 malam,1. Bingin
Ocean Breeze Retreat Near Bingin's Surf Scene,"Kecamatan Kuta Selatan, Bali, Indonesia",4.87,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.8,4.9,4.9,4.9,4.7,4.9,¥ 14.469,untuk 1 malam,1. Bingin
"Penginapan Tepi Kolam Renang yang Santai, Dekat dengan Pantai Bingin","Kecamatan Kuta Selatan, Bali, Indonesia",4.71,3 tamu ·  · 1 kamar tidur ·  · 2 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.8,4.7,4.7,4.7,¥ 15.512,untuk 1 malam,1. Bingin
"Penginapan yang semarak dengan Kolam Renang, Beberapa Langkah dari Pantai Bingin","Kuta Selatan, Bali, Indonesia",4.78,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.8,4.8,4.9,4.8,4.8,4.7,¥ 15.271,untuk 1 malam,1. Bingin
Ultimate Surfer's Retreat di Bingin dengan Kolam Renang,"Kuta Selatan, Bali, Indonesia",4.85,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.9,4.9,4.8,4.9,4.8,4.8,¥ 13.902,untuk 1 malam,1. Bingin
Vila Terpencil yang diterangi matahari dengan Kolam Renang | Dekat Pantai Bingin,"Kecamatan Kuta Selatan, Bali, Indonesia",4.8,"6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3,5 kamar mandi",4.6,4.8,4.8,4.9,4.4,4.8,¥ 61.001,untuk 2 malam,1. Bingin
Dreamy Haven dengan Kolam Renang | 300 m dari Pantai Bingin,"Bingin Beach, Bali, Indonesia",4.76,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.7,4.8,4.7,4.8,4.8,4.7,¥ 34.535,untuk 1 malam,1. Bingin
Vila Liburan Keluarga di Dekat Pantai Bingin dengan BBQ,"Kecamatan Kuta Selatan, Bali, Indonesia",4.98,"6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3,5 kamar mandi",5.0,5.0,5.0,5.0,4.5,5.0,¥ 22.949,untuk 1 malam,1. Bingin
Villa Elegan dengan Pemandangan Indah di Jimbaran,"Kecamatan Kuta Selatan, Bali, Indonesia",4.68,7 tamu ·  · 4 kamar tidur ·  · 4 tempat tidur ·  · 4 kamar mandi,4.6,4.8,4.8,4.7,4.5,4.6,¥ 36.582,untuk 2 malam,3. Jimbaran
Berkumpul & Bersantai Vila Keluarga Jimbaran Dengan Kolam Renang,"Kecamatan Kuta Selatan, Bali, Indonesia",4.76,10 tamu ·  · 5 kamar tidur ·  · 7 tempat tidur ·  · 5 kamar mandi,4.7,4.9,4.9,5.0,4.3,4.9,¥ 22.504,untuk 1 malam,3. Jimbaran
Ikatan Grup Menanti: Vila Jimbaran Dengan Kolam Renang,"Kecamatan Kuta Selatan, Bali, Indonesia",5.0,16+ tamu ·  · 10 kamar tidur ·  · 15 tempat tidur ·  · 10 kamar mandi,5.0,5.0,4.9,5.0,4.6,5.0,¥ 45.446,untuk 1 malam,3. Jimbaran
Liburan Jimbaran dengan Sentuhan Bali Autentik,"Kuta Selatan, Bali, Indonesia",4.7,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.7,4.6,4.3,4.7,¥ 4.254,untuk 1 malam,3. Jimbaran
Vila Aneh di Tepi Kolam Renang di Jimbaran,"Jimbaran, Bali, Indonesia",4.63,8 tamu ·  · 4 kamar tidur ·  · 4 tempat tidur ·  · 4 kamar mandi,4.6,4.6,4.8,4.6,4.3,4.6,¥ 23.978,untuk 1 malam,3. Jimbaran
Kedatangan Segar: Liburan Keluarga Terbaik di Jimbaran,"Kuta Selatan, Bali, Indonesia",Baru,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,0.0,0.0,0.0,0.0,0.0,0.0,¥ 64.176,untuk 2 malam,3. Jimbaran
Sun - Kissed Sanctuary dengan Kolam Renang Pribadi di Ungasan,"Kecamatan Kuta Selatan, Bali, Indonesia",4.93,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.8,4.9,5.0,4.9,4.6,4.8,¥ 33.602,untuk 1 malam,10. Ungasan
Vila Berjemur dengan Kolam Renang Pribadi di Ungasan,"Kecamatan Kuta Selatan, Bali, Indonesia","4,92",2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.9,4.9,5.0,4.9,4.8,4.9,¥ 27.317,untuk 1 malam,10. Ungasan
Ungasan Graceful Tropical Villa with Sunlit Pool,"Kecamatan Kuta Selatan, Bali, Indonesia",4.77,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.8,4.8,4.8,4.8,4.7,4.8,¥ 33.602,untuk 1 malam,10. Ungasan
Liburan Vila Akrab di Dekat Tempat Populer Ungasan,"Kecamatan Kuta Selatan, Bali, Indonesia",4.77,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.9,5.0,5.0,4.9,4.7,4.9,¥ 28.800,untuk 1 malam,10. Ungasan
Vila Luas di Ungasan untuk Rombongan di Dekat Pantai,"Bukit, Bali, Indonesia",4.71,"10 tamu ·  · 5 kamar tidur ·  · 5 tempat tidur ·  · 5,5 kamar mandi",4.7,4.8,4.9,4.7,4.5,4.7,¥ 67.597,untuk 2 malam,10. Ungasan
Vila Luas dengan Kolam Renang & Taman Rimbun di Ungasan,"Kecamatan Kuta Selatan, Bali, Indonesia",4.58,"4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2,5 kamar mandi",4.8,4.8,4.8,4.8,4.7,4.8,¥ 33.524,untuk 2 malam,10. Ungasan
Grand Villa Retreat w/ Pool & Garden di Ungasan,"Kecamatan Kuta Selatan, Bali, Indonesia",4.74,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.7,4.8,4.9,4.7,4.6,4.7,¥ 42.030,untuk 2 malam,10. Ungasan
Penginapan Grup Ungasan Placid: 9 menit ke Pantai Melasti,"Ungasan, Bali, Indonesia",4.79,"6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3,5 kamar mandi",4.7,4.8,4.8,4.8,4.1,4.8,¥ 41.648,untuk 2 malam,10. Ungasan
Liburan Tenang dengan Pemandangan Kolam Renang yang Menakjubkan untuk Grup,"Badung Regency, Bali, Indonesia",4.8,8 tamu ·  · 4 kamar tidur ·  · 4 tempat tidur ·  · 3 kamar mandi,4.7,4.8,4.8,4.7,4.4,4.8,¥ 59.572,untuk 2 malam,10. Ungasan
